"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","72049306.59375"
"7/31/2015","1438300800","72085498.31250"
"8/1/2015","1438387200","72113204.25000"
"8/2/2015","1438473600","72141427.68750"
"8/3/2015","1438560000","72169404.40625"
"8/4/2015","1438646400","72197882.84375"
"8/5/2015","1438732800","72225411.43750"
"8/6/2015","1438819200","72252486.90625"
"8/7/2015","1438905600","72279924.56250"
"8/8/2015","1438992000","72307868.00000"
"8/9/2015","1439078400","72335046.28125"
"8/10/2015","1439164800","72362863.62500"
"8/11/2015","1439251200","72390891.43750"
"8/12/2015","1439337600","72418262.37500"
"8/13/2015","1439424000","72446530.50000"
"8/14/2015","1439510400","72477637.21875"
"8/15/2015","1439596800","72506149.87500"
"8/16/2015","1439683200","72533244.40625"
"8/17/2015","1439769600","72561363.31250"
"8/18/2015","1439856000","72587526.12500"
"8/19/2015","1439942400","72614808.15625"
"8/20/2015","1440028800","72635865.18750"
"8/21/2015","1440115200","72662556.12500"
"8/22/2015","1440201600","72690106.59375"
"8/23/2015","1440288000","72716362.21875"
"8/24/2015","1440374400","72743695.50000"
"8/25/2015","1440460800","72770431.59375"
"8/26/2015","1440547200","72796569.56250"
"8/27/2015","1440633600","72821102.37500"
"8/28/2015","1440720000","72845327.53125"
"8/29/2015","1440806400","72867852.53125"
"8/30/2015","1440892800","72889306.12500"
"8/31/2015","1440979200","72910599.56250"
"9/1/2015","1441065600","72930942.53125"
"9/2/2015","1441152000","72949329.87500"
"9/3/2015","1441238400","72966710.81250"
"9/4/2015","1441324800","72989792.68750"
"9/5/2015","1441411200","73015421.75000"
"9/6/2015","1441497600","73041590.03125"
"9/7/2015","1441584000","73067050.50000"
"9/8/2015","1441670400","73092943.00000"
"9/9/2015","1441756800","73119370.65625"
"9/10/2015","1441843200","73145814.87500"
"9/11/2015","1441929600","73173054.71875"
"9/12/2015","1442016000","73199455.81250"
"9/13/2015","1442102400","73225627.21875"
